equipment_type,area,dept,equip_num,acct_code,grouping1,maintenance_operation1,frequency1,grouping2,maintenance_operation2,frequency2,grouping3,maintenance_operation3,frequency3,grouping4,maintenance_operation4,frequency4,grouping5,maintenance_operation5,frequency5,grouping6,maintenance_operation6,frequency6
BC - Bc Filter,Raw Mill,Mechanical,BC-320,70220,9,Monthly Inspection,1M,,,,,,,,,,,,,,,
BU - Butterfly Valve,Raw Mill,Mechanical,BFV-308,70220,9,Monthly Inspection,1M,,,,,,,,,,,,,,,
C - Conveyor,Raw Mill,Mechanical,C-305,70220,10,Monthly Inspection,1M,10,Monthly Lubrication,1M,10,Semi-Annual Oil Analysis,6M,,,,,,,,,
C - Conveyor,Raw Mill,Mechanical,C-306,70220,10,Monthly Inspection,1M,10,Monthly Lubrication,1M,,,,,,,,,,,,
C - Conveyor,Raw Mill,Mechanical,C-306A,70220,10,Monthly Inspection,1M,10,Monthly Lubrication,1M,,,,,,,,,,,,
C - Conveyor,Raw Mill,Mechanical,C-307,70220,10,Monthly Inspection,1M,10,Monthly Lubrication,1M,,,,,,,,,,,,
C - Conveyor,Raw Mill,Mechanical,C-308,70220,10,Monthly Inspection,1M,10,Monthly Lubrication,1M,,,,,,,,,,,,
CA - Compressor,Raw Mill,Mechanical,CA-308 ,70220,11,Monthly Inspection,1M,,,,,,,,,,,,,,,
CA - Compressor,Raw Mill,Mechanical,CA-309,70220,11,Monthly Inspection,1M,,,,,,,,,,,,,,,
CA - Compressor,Raw Mill,Mechanical,CA-309A,70220,11,Monthly Inspection,1M,,,,,,,,,,,,,,,
CA - Compressor,Raw Mill,Mechanical,CA-310 ,70220,11,Monthly Inspection,1M,,,,,,,,,,,,,,,
CA - Compressor,Raw Mill,Mechanical,CA-311 ,70220,11,Monthly Inspection,1M,,,,,,,,,,,,,,,
CA - Compressor,Raw Mill,Mechanical,CA-314 ,70220,11,Monthly Inspection,1M,,,,,,,,,,,,,,,
CA - Compressor,Raw Mill,Mechanical,CA-315 ,70220,11,Monthly Inspection,1M,,,,,,,,,,,,,,,
CA - Compressor,Raw Mill,Mechanical,CA-316 ,70220,11,Monthly Inspection,1M,,,,,,,,,,,,,,,
CA - Compressor,Raw Mill,Mechanical,CA-317 ,70220,11,Monthly Inspection,1M,,,,,,,,,,,,,,,
CA - Compressor,Raw Mill,Mechanical,CA-319A,70220,11,Monthly Inspection,1M,,,,,,,,,,,,,,,
CA - Compressor,Raw Mill,Mechanical,CA-319B,70220,11,Monthly Inspection,1M,,,,,,,,,,,,,,,
CA - Compressor,Raw Mill,Mechanical,CA-320A,70220,11,Monthly Inspection,1M,,,,,,,,,,,,,,,
CA - Compressor,Raw Mill,Mechanical,CA-321 ,70220,11,Monthly Inspection,1M,,,,,,,,,,,,,,,
CA - Compressor,Raw Mill,Mechanical,CA-321A,70220,11,Monthly Inspection,1M,,,,,,,,,,,,,,,
CA - Compressor,Raw Mill,Mechanical,CA-322A,70220,11,Monthly Inspection,1M,,,,,,,,,,,,,,,
CA - Compressor,Raw Mill,Mechanical,CA-322B,70220,11,Monthly Inspection,1M,,,,,,,,,,,,,,,
CA - Compressor,Raw Mill,Mechanical,CA-326,70220,11,Monthly Inspection,1M,,,,,,,,,,,,,,,
CA - Compressor,Raw Mill,Mechanical,CA-327,70220,11,Monthly Inspection,1M,,,,,,,,,,,,,,,
CF - Conveyor Feeder,Raw Mill,Mechanical,CF-305,70220,12,Monthly Inspection,1M,12,Monthly Lubrication,1M,,,,,,,,,,,,
CF - Conveyor Feeder,Raw Mill,Mechanical,CF-306,70220,12,Monthly Inspection,1M,12,Monthly Lubrication,1M,,,,,,,,,,,,
CP - Cement Pump,Raw Mill,Mechanical,CP-310A ,70220,13,Monthly Inspection,1M,,,,,,,13,Weekly Ultrasound-assisted Lubrication,1W,,,,,,
CP - Cement Pump,Raw Mill,Mechanical,CP-311A ,70220,13,Monthly Inspection,1M,,,,,,,13,Weekly Ultrasound-assisted Lubrication,1W,,,,,,
CP - Cement Pump,Raw Mill,Mechanical,CP-320A ,70220,13,Monthly Inspection,1M,,,,,,,13,Weekly Ultrasound-assisted Lubrication,1W,,,,,,
CP - Cement Pump,Raw Mill,Mechanical,CP-321 ,70220,13,Monthly Inspection,1M,,,,,,,13,Weekly Ultrasound-assisted Lubrication,1W,,,,,,
CP - Cement Pump,Raw Mill,Mechanical,CP-321A ,70220,13,Monthly Inspection,1M,,,,,,,13,Weekly Ultrasound-assisted Lubrication,1W,,,,,,
CY - Cyclone,Raw Mill,Mechanical,CY-310,70220,14,Monthly Inspection,1M,,,,,,,,,,,,,,,
